method,fold,extras,training,testing
Praxi,0,0,105.728538,237.818877
Praxi,0,1,291.612333,262.952182
Praxi,0,2,491.113752,280.992304
Praxi,0,3,729.619259,304.129236
Praxi,0,4,977.824919,325.239826
Praxi,1,0,119.408388,229.937171
Praxi,1,1,295.972146,249.640741
Praxi,1,2,496.074881,267.743784
Praxi,1,3,736.927097,287.733171
Praxi,1,4,968.460381,305.233247
Praxi,2,0,133.950007,211.678849
Praxi,2,1,319.742236,232.123863
Praxi,2,2,523.973764,247.362427
Praxi,2,3,755.460004,265.764214
Praxi,2,4,991.644641,281.479697
Rule Based,0,0,1.263896,440.607021
Rule Based,0,1,2.164288,405.493772
Rule Based,0,2,3.591754,455.109637
Rule Based,0,3,4.670833,448.056201
Rule Based,0,4,5.985350,416.358059
Rule Based,1,0,1.340518,454.556876
Rule Based,1,1,2.143330,400.238508
Rule Based,1,2,3.622335,430.504614
Rule Based,1,3,4.752410,426.331076
Rule Based,1,4,6.351953,408.157496
Rule Based,2,0,1.228178,382.556821
Rule Based,2,1,2.636189,402.119930
Rule Based,2,2,4.198571,420.069797
Rule Based,2,3,4.793648,397.052266
Rule Based,2,4,6.062908,373.531166
